Predator_name,Prey_name
Euchaeta antarctica,Oithona sp.
Euchaeta antarctica,Oncaea sp.
Euchaeta antarctica,Metridia gerlachei
Euchaeta antarctica,Euchaeta antarctica
Euchaeta antarctica,Cyllopus lucasii
Euchaeta antarctica,Coelenterata
Euchaeta antarctica,Pelagobia longicirrata
Euchaeta antarctica,Eukrohnia hamata
Mysida,Bacillariophyta
Mysida,Detritus
Mysida,Zooplankton
Eucopia australis,Bacillariophyta
Eucopia australis,Detritus
Eucopia australis,Zooplankton
Euchaetomera antarcticus,Bacillariophyta
Euchaetomera antarcticus,Detritus
Euchaetomera antarcticus,Zooplankton
Antarctomysis maxima,Bacillariophyta
Antarctomysis maxima,Detritus
Antarctomysis maxima,Zooplankton
Ceratoserolis meridionalis,Polychaeta
Ceratoserolis meridionalis,Crustacea
Frontoserolis bouvieri,Polychaeta
Frontoserolis bouvieri,Crustacea
Natatolana obtusata,Detritus
Natatolana oculata,Detritus
Natatolana meridionalis,Detritus
Gnathia calva,Zooplankton
Glyptonotus antarcticus,Isopoda
Glyptonotus antarcticus,Glyptonotus antarcticus
Glyptonotus antarcticus,Asteroidea
Glyptonotus antarcticus,Gastropoda
Glyptonotus antarcticus,Euphausia superba
Glyptonotus antarcticus,Polychaeta
Glyptonotus antarcticus,Echinoidea
Glyptonotus antarcticus,Ophiuroidea
Glyptonotus antarcticus,Detritus
Glyptonotus antarcticus,Limacina helicina 
Austrosisignum grande,Detritus
Austrosisignum grande,Bacillariophyta
Aega antarctica,Detritus
Arcturidae,Detritus
Myodocopia,Sediment
Myodocopia,Detritus
Myodocopia,Zooplankton
Alacia hettacra,Detritus
Alacia hettacra,Bacillariophyta
Alacia hettacra,Phytoplankton
Alacia belgicae,Detritus
Alacia belgicae,Bacillariophyta
Alacia belgicae,Phytoplankton
Metaconchoecia isocheira,Detritus
Metaconchoecia isocheira,Bacillariophyta
Metaconchoecia isocheira,Phytoplankton
Boroecia antipoda,Detritus
Boroecia antipoda,Bacillariophyta
Boroecia antipoda,Phytoplankton
Podocopida,Zooplankton
Podocopida,Detritus
Podocopida,Bacillariophyta
Nototanais antarcticus,Detritus
Nototanais antarcticus,Bacillariophyta
Nototanais antarcticus,Bacteria
Nototanais antarcticus,Sediment
Peraeospinosus pushkini,Sediment
Peraeospinosus pushkini,Detritus
Peraeospinosus pushkini,Bacillariophyta
Peraeospinosus pushkini,Porifera
Nototanais dimorphus,Bacillariophyta
Nototanais dimorphus,Bacteria
Nototanais dimorphus,Detritus
Eudorella splendida,Detritus
Eudorella splendida,Bacillariophyta
Eudorella splendida,Bacteria
Eudorella splendida,Sediment
Vaunthompsonia indermis,Detritus
Vaunthompsonia indermis,Bacillariophyta
Vaunthompsonia indermis,Bacteria
Vaunthompsonia indermis,Sediment
Camylaspis maculata,Bacillariophyta
Diastylis mawsoni,Detritus
Ekleptostylis debroyeri,Detritus
Pentanymphon antarcticum,Bryozoa
Pentanymphon antarcticum,Porifera
Pentanymphon antarcticum,Gastropoda
Pentanymphon antarcticum,Polychaeta
Pentanymphon antarcticum,Ophiuroidea
Pentanymphon antarcticum,Ctenophora
Ammothea carolinensis,Bryozoa
Ammothea carolinensis,Porifera
Ammothea carolinensis,Gastropoda
Ammothea carolinensis,Polychaeta
Ammothea carolinensis,Ophiuroidea
Ammothea carolinensis,Ctenophora
Colossendeis sp.,Bryozoa
Colossendeis sp.,Porifera
Colossendeis sp.,Gastropoda
Colossendeis sp.,Polychaeta
Colossendeis sp.,Ophiuroidea
Colossendeis sp.,Ctenophora
Nymphon gracillimum,Bryozoa
Nymphon gracillimum,Porifera
Nymphon gracillimum,Gastropoda
Nymphon gracillimum,Polychaeta
Nymphon gracillimum,Ophiuroidea
Nymphon gracillimum,Ctenophora
Pelagobia longicirrata,Bacillariophyta
Pelagobia longicirrata,Ostracoda
Rhynchonereella bongraini,Bacillariophyta
Rhynchonereella bongraini,Ostracoda
Laetmonice producta,Detritus
Laetmonice producta,Polychaeta
Laetmonice producta,Crustacea
Laetmonice producta,Amphipoda
Laetmonice producta,Ophiuroidea
Harmothoe spinosa,Holothuria
Harmothoe spinosa,Detritus
Harmothoe spinosa,Hydrozoa
Harmothoe spinosa,Bryozoa
Harmothoe spinosa,Gastropoda
Harmothoe spinosa,Polychaeta
Harmothoe spinosa,Pantopoda
Harmothoe spinosa,Crustacea
Harmothoe spinosa,Isopoda
Harmothoe spinosa,Amphipoda
Harmothoe spinosa,Ophiuroidea
Harmothoe crosetensis,Detritus
Harmothoe crosetensis,Polychaeta
Harmothoe crosetensis,Crustacea
Harmothoe crosetensis,Isopoda
Harmothoe crosetensis,Amphipoda
Harmothoe crosetensis,Holothuria
Harmothoe crosetensis,Ophiuroidea
Polyeunoa laevis ,Detritus
Polyeunoa laevis ,Urticinopsis antarctica
Polyeunoa laevis ,Anthozoa
Polyeunoa laevis ,Crustacea
Barrukia cristata,Detritus
Barrukia cristata,Bivalvia
Barrukia cristata,Polychaeta
Barrukia cristata,Ophiuroidea
Eulagisca gigantea,Detritus
Eulagisca gigantea,Bryozoa
Eulagisca gigantea,Pantopoda
Eulagisca gigantea,Crustacea
Eulagisca gigantea,Amphipoda
Eulagisca gigantea,Ophiuroidea
Eulagisca gigantea,Hydrozoa
